Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
3672754654734989568,0.15309973898201193,0.15309973898201193,0.3751880417849242,5.461102814538204e-78,0.5519948726165678,210.0,474.0,0.2144419520587482,114.0
3733192481840423936,0.18104881122934272,0.18104881122934272,0.3047297067346592,6.978361032805197e-51,1.0,553.0,689.0,0.26052278752307034,43.0
3768170840939476993,0.1492710982760538,0.1492710982760538,0.4187992479161131,5.438782420778536e-78,0.5339705502454146,6.0,14.0,0.21925600865959372,105.0
3784403294629753856,0.1762807712841654,0.1762807712841654,0.5019154270789337,1.1228157180155252e-73,0.3766625319444652,1829.0,6050.0,0.23500376281652421,86.0
3786761687746711808,0.14881289384914814,0.14881289384914814,0.31877276625930556,8.869001516701998e-71,0.5621885061526927,37.0,82.0,0.20182049548416187,125.0
3788465932399412480,0.31190326418601505,0.31190326418601505,0.3984454393755326,2.184943789412476e-28,0.5557771025308795,1369.0,3069.0,0.30681359343050274,20.0
3818233536529843712,0.2224929798603529,0.22249297986035288,0.3762647927397811,5.461102800785049e-78,0.4226170857443183,482.0,1421.0,0.23988580604558213,80.0
3819545518395756033,0.15800178299219378,0.15800178299219378,0.3492893252019911,5.461102800785045e-78,0.4763854909052228,26.0,68.0,0.20439739477662708,123.0
3826087012661391104,0.15269733849011016,0.15269733849011013,0.4331060425645346,4.161725096429769e-58,0.7267932489451477,63.0,108.0,0.2432840695769823,72.0
3858510226868015873,0.14305094886765019,0.14305094886765016,0.23958445057445488,5.461111355911107e-78,0.30397721083248,243.0,996.0,0.15699263307534658,145.0
3865845304835489536,0.163052470864538,0.163052470864538,0.4423227799356192,5.522066025767124e-78,0.6370918469859311,451.0,882.0,0.24185259966121286,74.0
3878631538480067329,0.19287226820047812,0.19287226820047812,0.4021423844298553,5.461102800785048e-78,0.6271763666762518,1415.0,2811.0,0.24922586106385924,69.0
3879821005658659073,0.19698361217085159,0.19698361217085159,0.35795700994191615,5.467379332779428e-78,0.412929060835808,289.0,872.0,0.22122529476593242,102.0
3880920727367689984,0.14428570239056954,0.14428570239056954,0.24596377596721217,2.5378232445856197e-73,0.42103884766477523,49.0,145.0,0.17065377627473322,143.0
3886752488982104320,0.23168813628844365,0.23168813628844362,0.4762404868698829,5.2234639050788994e-59,0.928712590325425,931.0,1249.0,0.31554783136516307,17.0
3887577207880438784,0.1750441881737735,0.1750441881737735,0.4231792001511676,8.35272571216631e-69,0.5957816866677627,2893.0,6050.0,0.24048831219258524,77.0
3891020560590657281,0.18024643759397319,0.18024643759397319,0.8390679356271399,5.461102737835986e-78,0.8068616781359012,283.0,437.0,0.34763529561570333,9.0
3907081197088384000,0.35997967701696665,0.35997967701696665,0.47670404508918196,2.8067516796192654e-19,0.7649662705151455,2540.0,4137.0,0.3698262584286826,6.0
3910887259807777281,0.16776209548642967,0.16776209548642967,0.3045636620616597,3.2671391008516604e-75,0.28241109101868594,17.0,75.0,0.18142299403173684,139.0
3910983669796782848,0.22654820493241115,0.2265482049324111,0.5742298567126395,2.955555179766894e-15,0.5334143309222422,274.0,640.0,0.2927889171475787,23.0
3911997667197443328,0.15356360051290133,0.15356360051290133,0.3115503601192257,5.543713919178446e-78,0.5840302893309223,30.0,64.0,0.2051730812390331,122.0
3914654298562589441,0.15045434462486332,0.15045434462486332,0.26448867706470114,6.575844495836516e-58,0.5159135751163426,200.0,483.0,0.18723898246824933,137.0
3919174299855478272,0.163648893888452,0.163648893888452,0.2673246330093714,5.461102800785048e-78,0.5988730480652993,609.0,1267.0,0.2033591230470528,124.0
3919965573764932864,0.1463821618337484,0.1463821618337484,0.26004358617253676,-0.0,0.0,0.0,0.0,0.13251890624306895,147.5
3923766029921022977,0.1555436308176471,0.1555436308176471,0.35999066483629794,5.8111434766984685e-68,0.35527349556969207,359.0,1259.0,0.19307447947393472,132.0
3925368433214965504,0.22687766741474713,0.22687766741474708,0.4818422556079016,5.461102800785048e-78,0.4153104279686558,486.0,1458.0,0.2626822109965568,38.0
3926423286576838657,0.16190710823843946,0.16190710823843943,0.32550743947722044,3.860193875120554e-34,0.42486778091354116,163.0,478.0,0.1966371755179399,130.0
3930688517098515713,0.1694686773232428,0.16946867732324278,0.30524194212439826,2.69299282249763e-62,0.6056610407876231,140.0,288.0,0.2148222650314255,113.0
3931992636670880512,0.26938766413860826,0.26938766413860826,0.41252468663947955,3.412637104692892e-61,0.5004319041142976,2430.0,6050.0,0.2807113430155602,29.0
3932103299427844097,0.19214996163713624,0.1921499616371362,0.3772136799916427,1.8425617786535454e-67,0.3744049976357059,778.0,2589.0,0.21856571466232405,106.0
3935808725185052672,0.17367422935455512,0.17367422935455512,0.3392531124635451,5.4613745428017e-78,0.4373473078200539,602.0,1715.0,0.20710617941971976,119.0
3936410995029308417,0.2730221030984508,0.2730221030984508,0.34137018805895153,5.460557900945472e-78,0.3737793851717902,6.0,20.0,0.25581413283311727,56.0
3937714876784951296,0.1596315988215766,0.1596315988215766,0.27291474520446196,1.5409402626185486e-75,0.4900825598142846,201.0,511.0,0.191388584374188,134.0
3939318616482048768,0.262279093926872,0.262279093926872,0.38097095433387523,1.8581874774604504e-64,0.4667298142885846,118.0,315.0,0.26712067395541306,35.0
3939925275039085824,0.17458612759490372,0.17458612759490372,0.6296105167533754,1.3896029484506437e-67,0.4514609308080327,2148.0,5928.0,0.26709056660867536,36.0
3941019213896463617,0.19658147150454905,0.19658147150454905,0.28867060907603087,5.461102800785079e-78,0.6118412554895375,55.0,112.0,0.2270380566916619,95.0
3942630767220672256,0.22477277530001954,0.22477277530001954,0.3013481271171164,5.461102800785048e-78,0.47715983764802894,1903.0,4969.0,0.23161063560323694,89.0
3943533600390906881,0.17437919194628082,0.17437919194628085,0.6291634873831752,1.0,0.6828185092014512,964.0,1759.0,0.4400231039672346,3.0
